Feature,Importance
rolling_mean_7,26.624256747711506
lag_1,14.1827834866631
lag_7,11.21874850060212
rolling_mean_14,5.273154550812767
month,4.945717192225176
lag_14,4.845347054594153
is_holiday,4.012171053398035
day_of_week,3.5344865658973976
lag_56,3.497090445902512
family,3.2932876553881107
week_of_year,3.1482762780806466
rolling_mean_30,2.144054141929265
rolling_mean_90,1.885666952154986
rolling_std_7,1.7019727014600996
rolling_mean_60,1.4748516521010844
lag_21,1.3524895333004505
lag_28,1.2686773741769815
dcoilwtico_filled,1.2684375854425312
is_weekend,0.9964002663215851
onpromotion,0.7725360511279297
rolling_std_14,0.5353012696888422
has_promotion,0.4959792536673189
year,0.37898001815124793
rolling_std_30,0.2601567013667076
type,0.22530706015307556
rolling_std_60,0.14699461870912367
promotion_lag_7,0.10894848203681205
city,0.10715139749765774
promotion_rolling_mean_30,0.06496346686536919
promotion_lag_1,0.06342585821092349
cluster,0.06327291075956515
state,0.06031538902340086
promotion_rolling_mean_14,0.020226212957293866
promotion_lag_14,0.015719326022715256
promotion_rolling_mean_7,0.012852245599506637
